feature_name,X,Y,Z,coord,val,gx,gy,gz,intrusion_contact_type,intrusion_side,intrusion_anisotropy
sill_1,1194.519,231.59,10,,,,,,floor,TRUE,stratigraphy
sill_1,1170.142,402.236,10,,,,,,floor,TRUE,stratigraphy
sill_1,1153.077,699.647,10,,,,,,floor,TRUE,stratigraphy
sill_1,1153.077,816.661,10,,,,,,floor,TRUE,stratigraphy
sill_1,1182.33,1011.685,10,,,,,,floor,TRUE,stratigraphy
sill_1,1123.823,1335.911,10,,,,,,floor,TRUE,stratigraphy
sill_1,1143.326,1548,10,,,,,,floor,TRUE,stratigraphy
sill_1,1196.957,1677.203,10,,,,,,floor,TRUE,stratigraphy
sill_1,1901.48,1821.033,10,,,,,,floor,TRUE,stratigraphy
sill_1,2013.619,1752.774,10,,,,,,floor,TRUE,stratigraphy
sill_1,2064.812,1628.447,10,,,,,,floor,TRUE,stratigraphy
sill_1,2086.753,1448.05,10,,,,,,floor,TRUE,stratigraphy
sill_1,2089.19,1294.469,10,,,,,,floor,TRUE,stratigraphy
sill_1,2023.37,1199.395,10,,,,,,floor,TRUE,stratigraphy
sill_1,1986.803,1058.003,10,,,,,,floor,TRUE,stratigraphy
sill_1,1942.923,916.611,10,,,,,,floor,TRUE,stratigraphy
sill_1,1913.669,816.661,10,,,,,,floor,TRUE,stratigraphy
sill_1,1894.167,753.278,10,,,,,,floor,TRUE,stratigraphy
sill_1,1767.401,485.121,10,,,,,,floor,TRUE,stratigraphy
sill_1,1706.456,316.913,10,,,,,,floor,TRUE,stratigraphy
sill_1,1689.392,214.526,10,,,,,,floor,TRUE,stratigraphy
sill_1,1662.576,102.387,10,,,,,,floor,TRUE,stratigraphy
sill_1,1655.263,51.193,10,,,,,,floor,TRUE,stratigraphy
sill_1,1602.85,822.756,110,,,,,,roof,,stratigraphy
sill_1,1634.542,1103.102,80,,,,,,roof,,stratigraphy
sill_1,1675.984,1449.269,50,,,,,,roof,,stratigraphy
sill_1,1473.767,1598.832,48,,,,,,roof,,stratigraphy
sill_1,1874.322,1585.656,46,,,,,,roof,,stratigraphy
sill_1,1813.712,1272.064,70,,,,,,roof,,stratigraphy
sill_1,1407.887,1082.328,78,,,,,,roof,,stratigraphy
sill_1,1721.479,926.849,100,,,,,,roof,,stratigraphy
sill_1,1463.226,676.503,115,,,,,,roof,,stratigraphy
sill_1,2045.612,1417.001,40,,,,,,roof,,stratigraphy
sill_1,1792.63,613.257,90,,,,,,roof,,stratigraphy
sill_1_frame,1602.85,822.756,110,1,0,,,,,,
sill_1_frame,1602.85,822.756,110,1,,0.14,0.99,0,,,
sill_1_frame,1634.542,1103.102,80,1,,0.14,0.99,0,,,
sill_1_frame,1675.984,1449.269,50,1,,0.14,0.99,0,,,
sill_1_frame,1602.85,822.756,110,2,0,,,,axis,,
sill_1_frame,1634.542,1103.102,80,2,0,,,,axis,,
sill_1_frame,1675.984,1449.269,50,2,0,,,,axis,,
sill_1_frame,1602.85,822.756,110,2,,-0.99,0.14,0,,,
sill_1_frame,1634.542,1103.102,80,2,,-0.99,0.14,0,,,
sill_1_frame,1675.984,1449.269,50,2,,-0.99,0.14,0,,,
sill_2,875.168,51.193,10,,,,,,floor,TRUE,stratigraphy
sill_2,1323.723,51.193,10,,,,,,floor,TRUE,stratigraphy
sill_2,1299.345,106.715,10,,,,,,floor,TRUE,stratigraphy
sill_2,865.417,101.341,10,,,,,,floor,TRUE,stratigraphy
sill_2,1296.907,492.434,100,,,,,,floor,TRUE,stratigraphy
sill_2,838.601,541.19,100,,,,,,floor,TRUE,stratigraphy
sill_2,1318.847,646.015,100,,,,,,floor,TRUE,stratigraphy
sill_2,765.467,767.905,100,,,,,,floor,TRUE,stratigraphy
sill_2,1289.593,804.472,100,,,,,,floor,TRUE,stratigraphy
sill_2,806.91,936.113,100,,,,,,floor,TRUE,stratigraphy
sill_2,1284.718,994.62,100,,,,,,floor,TRUE,stratigraphy
sill_2,806.91,1021.436,100,,,,,,floor,TRUE,stratigraphy
sill_2,738.652,1145.763,100,,,,,,floor,TRUE,stratigraphy
sill_2,1338.349,1194.519,100,,,,,,floor,TRUE,stratigraphy
sill_2,660.642,1277.404,100,,,,,,floor,TRUE,stratigraphy
sill_2,1413.921,1294.469,100,,,,,,floor,TRUE,stratigraphy
sill_2,1435.861,1367.603,100,,,,,,floor,TRUE,stratigraphy
sill_2,1416.359,1452.926,100,,,,,,floor,TRUE,stratigraphy
sill_2,677.707,1482.179,100,,,,,,floor,TRUE,stratigraphy
sill_2,1362.727,1545.562,100,,,,,,floor,TRUE,stratigraphy
sill_2,1042.157,795.94,195,,,,,,roof,,stratigraphy
sill_2,1010.466,1088.475,170,,,,,,roof,,stratigraphy
sill_2,1008.028,1405.389,135,,,,,,roof,,stratigraphy
sill_2,867.665,1477.612,130,,,,,,roof,,stratigraphy
sill_2,1244.503,1330.039,140,,,,,,roof,,stratigraphy
sill_2,1141.729,1132.397,165,,,,,,roof,,stratigraphy
sill_2,920.37,963.742,180,,,,,,roof,,stratigraphy
sill_2,1220.786,871.509,190,,,,,,roof,,stratigraphy
sill_2,1231.326,586.905,200,,,,,,roof,,stratigraphy
sill_2,859.759,737.113,190,,,,,,roof,,stratigraphy
sill_2_frame,1080.392,148.915,195,1,0,,,,,,
sill_2_frame,1042.157,795.94,195,1,,0,1,0,,,
sill_2_frame,1010.466,1088.475,170,1,,0,1,0,,,
sill_2_frame,1008.028,1405.389,135,1,,0,1,0,,,
sill_2_frame,1080.392,148.915,195,2,0,,,,axis,,
sill_2_frame,1042.157,795.94,195,2,0,,,,axis,,
sill_2_frame,1010.466,1088.475,170,2,0,,,,axis,,
sill_2_frame,1008.028,1405.389,135,2,0,,,,axis,,
sill_2_frame,1042.157,795.94,195,2,,1,0,0,,,
sill_2_frame,1010.466,1088.475,170,2,,1,0,0,,,
sill_2_frame,1008.028,1405.389,135,2,,1,0,0,,,
stratigraphy,5,5,50,,0,,,,,,
stratigraphy,1000,1000,150,,1,,,,,,
stratigraphy,1000,1000,50,,,0,0,1,,,
stratigraphy,1000,1000,150,,,0,0,1,,,
